date,department,team,actual_productivity,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,perf_ratio
2015-01-01,finishing,1,0.8865,0.75,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.182
2015-01-01,finishing,2,0.755166667,0.75,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.0069
2015-01-01,finishing,4,0.593055556,0.75,3.94,1039.0,2160,0.0,0.0,0.0,0.0,18.0,0.7907
2015-01-01,finishing,7,0.540729167,0.8,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.6759
2015-01-01,finishing,8,0.676666667,0.75,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.9022
2015-01-01,finishing,10,0.705916667,0.65,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.086
2015-01-01,finishing,11,0.436326389,0.7,4.15,1039.0,1440,0.0,0.0,0.0,0.0,12.0,0.6233
2015-01-01,sewing,1,0.750427826,0.75,28.08,681.0,6900,45.0,0.0,0.0,0.0,57.5,1.0006
2015-01-01,sewing,2,0.753097531,0.75,19.87,733.0,6000,34.0,0.0,0.0,0.0,55.0,1.0041
2015-01-01,sewing,3,0.753683478,0.75,28.08,795.0,6900,45.0,0.0,0.0,0.0,57.5,1.0049
2015-01-01,sewing,4,0.52118,0.65,23.69,861.0,7200,0.0,0.0,0.0,0.0,60.0,0.8018
2015-01-01,sewing,5,0.707045902,0.8,11.41,668.0,3660,50.0,0.0,0.0,0.0,30.5,0.8838
2015-01-01,sewing,6,0.800381944,0.8,25.9,1170.0,1920,50.0,0.0,0.0,0.0,56.0,1.0005
2015-01-01,sewing,7,0.800125,0.8,25.9,984.0,6720,38.0,0.0,0.0,0.0,56.0,1.0002
2015-01-01,sewing,8,0.940725424,0.8,26.16,1108.0,7080,98.0,0.0,0.0,0.0,59.0,1.1759
2015-01-01,sewing,9,0.721126957,0.7,28.08,872.0,6900,44.0,0.0,0.0,0.0,57.5,1.0302
2015-01-01,sewing,10,0.712205247,0.75,19.31,578.0,6480,45.0,0.0,0.0,0.0,54.0,0.9496
2015-01-01,sewing,11,0.800570492,0.8,11.41,968.0,3660,50.0,0.0,0.0,0.0,30.5,1.0007
2015-01-01,sewing,12,0.800570492,0.8,11.41,968.0,3660,50.0,0.0,0.0,0.0,30.5,1.0007
2015-01-03,finishing,1,0.902916667,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.1286
2015-01-03,finishing,2,0.782447917,0.8,4.15,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.9781
2015-01-03,finishing,3,0.945277778,0.75,3.94,1039.0,1560,0.0,0.0,0.0,0.0,8.0,1.2604
2015-01-03,finishing,4,0.988024691,0.8,4.15,1039.0,6600,0.0,0.0,0.0,0.0,20.0,1.235
2015-01-03,finishing,7,0.6253125,0.8,3.94,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.7816
2015-01-03,finishing,8,0.628333333,0.8,2.9,1039.0,960,0.0,0.0,0.0,0.0,8.0,0.7854
2015-01-03,finishing,9,0.956270833,0.8,4.15,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.1953
2015-01-03,finishing,10,0.7018125,0.7,4.15,1039.0,960,0.0,0.0,0.0,0.0,8.0,1.0026
2015-01-03,finishing,11,0.987880435,0.75,2.9,1039.0,5640,0.0,0.0,0.0,0.0,17.0,1.3172
2015-01-03,sewing,1,0.800725314,0.8,28.08,772.0,6300,50.0,0.0,0.0,0.0,56.5,1.0009
2015-01-03,sewing,2,0.75024303,0.75,19.87,944.0,6600,45.0,0.0,0.0,0.0,55.0,1.0003
2015-01-03,sewing,3,0.800322936,0.8,28.08,913.0,6540,50.0,0.0,0.0,0.0,54.5,1.0004
2015-01-03,sewing,4,0.700134038,0.7,23.69,544.0,13800,0.0,0.0,0.0,0.0,60.0,1.0002
2015-01-03,sewing,5,0.800148649,0.8,11.61,659.0,7080,50.0,0.0,0.0,0.0,31.5,1.0002
2015-01-03,sewing,6,0.800125,0.8,25.9,1152.0,6720,50.0,0.0,0.0,0.0,56.0,1.0002
2015-01-03,sewing,7,0.800125,0.8,25.9,1138.0,6720,38.0,0.0,0.0,0.0,56.0,1.0002
2015-01-03,sewing,8,0.800318644,0.8,26.16,1261.0,7080,50.0,0.0,0.0,0.0,59.0,1.0004
2015-01-03,sewing,9,0.699965217,0.7,28.08,1072.0,6900,40.0,0.0,0.0,0.0,57.5,1.0
